row	column	cor	p	group
1	T.cells_CD8	CytolyticScore	0.911764705882353	8.8189857416765e-07	ASPS
2	T.cells_CD8	ACRBP	-0.0941176470588235	0.72881442702398	ASPS
3	CytolyticScore	ACRBP	0.0117647058823529	0.965508169895628	ASPS
4	T.cells_CD8	ACTL8	-0.0577793629672311	0.831680966822393	ASPS
5	CytolyticScore	ACTL8	0.133336991462841	0.622512991186241	ASPS
6	T.cells_CD8	ACVR1B	0.179411764705882	0.506139539990438	ASPS
7	CytolyticScore	ACVR1B	0.0911764705882353	0.737004950173659	ASPS
8	T.cells_CD8	ADAM2	-0.0879651081098014	0.745978255373991	ASPS
9	CytolyticScore	ADAM2	-0.0141372495176467	0.958557426312339	ASPS
10	T.cells_CD8	ADAM29	0.00294986534172066	0.991349324749972	ASPS
11	CytolyticScore	ADAM29	-0.0648970375178544	0.811274843096825	ASPS
12	T.cells_CD8	AKAP3	-0.355882352941176	0.176103738091593	ASPS
13	CytolyticScore	AKAP3	-0.311764705882353	0.239800047674113	ASPS
14	T.cells_CD8	AKAP4	-0.0819757877916737	0.762795073136872	ASPS
15	CytolyticScore	AKAP4	0.0604032120570228	0.824146056410048	ASPS
16	T.cells_CD8	ANKRD30BP2	NA	NA	ASPS
17	CytolyticScore	ANKRD30BP2	NA	NA	ASPS
18	T.cells_CD8	ANKRD45	-0.317647058823529	0.230573463621845	ASPS
19	CytolyticScore	ANKRD45	-0.311764705882353	0.239800047674113	ASPS
20	T.cells_CD8	ARMC3	0.0383482494423685	0.88786930283189	ASPS
21	CytolyticScore	ARMC3	0.0737466335430164	0.786062667812803	ASPS
22	T.cells_CD8	ARX	-0.0205882352941176	0.939673739789045	ASPS
23	CytolyticScore	ARX	-0.102941176470588	0.704410381816771	ASPS
24	T.cells_CD8	ATAD2	0.158823529411765	0.556861281085539	ASPS
25	CytolyticScore	ATAD2	0.0382352941176471	0.888197653985307	ASPS
26	T.cells_CD8	ATIC	-0.102941176470588	0.704410381816771	ASPS
27	CytolyticScore	ATIC	-0.347058823529412	0.1878344201063	ASPS
28	T.cells_CD8	BAGE2	-0.364072821847283	0.165658125291233	ASPS
29	CytolyticScore	BAGE2	-0.364072821847283	0.165658125291233	ASPS
30	T.cells_CD8	BRDT	0.103703788278562	0.702313416345493	ASPS
31	CytolyticScore	BRDT	0.168071656865256	0.5338078692232	ASPS
32	T.cells_CD8	CABYR	0.00588235294117647	0.982750504419135	ASPS
33	CytolyticScore	CABYR	0.135294117647059	0.617367408970642	ASPS
34	T.cells_CD8	CAGE1	0.257471474346775	0.335693773494326	ASPS
35	CytolyticScore	CAGE1	0.307535372136425	0.246574512345716	ASPS
36	T.cells_CD8	CALR3	-0.152255765676766	0.573489677501527	ASPS
37	CytolyticScore	CALR3	-0.125387101145572	0.643581298020355	ASPS
38	T.cells_CD8	CCDC110	0.241176470588235	0.368206608042634	ASPS
39	CytolyticScore	CCDC110	0.202941176470588	0.450961241722709	ASPS
40	T.cells_CD8	CCDC33	0.114668801643134	0.672391485482497	ASPS
41	CytolyticScore	CCDC33	0.0942483301176444	0.728451133840321	ASPS
42	T.cells_CD8	CCDC36	0.0705882352941176	0.795039302337628	ASPS
43	CytolyticScore	CCDC36	0.0352941176470588	0.896753247693533	ASPS
44	T.cells_CD8	CCDC62	-0.273529411764706	0.305323156307405	ASPS
45	CytolyticScore	CCDC62	-0.0470588235294118	0.862603694666873	ASPS
46	T.cells_CD8	CCDC83	-0.0792530488475616	0.770473469795745	ASPS
47	CytolyticScore	CCDC83	0.0230089496654211	0.932594947680897	ASPS
48	T.cells_CD8	CEP290	-0.0117647058823529	0.965508169895628	ASPS
49	CytolyticScore	CEP290	0.105882352941176	0.696334105038116	ASPS
50	T.cells_CD8	CEP55	0.285294117647059	0.284138740159563	ASPS
51	CytolyticScore	CEP55	0.0852941176470588	0.753465069474783	ASPS
52	T.cells_CD8	COX6B2	0.183958843032894	0.495237246630298	ASPS
53	CytolyticScore	COX6B2	0.138337049960736	0.609400173254655	ASPS
54	T.cells_CD8	CPXCR1	0.316453160034062	0.232427719903941	ASPS
55	CytolyticScore	CPXCR1	0.173153615867694	0.521325235678165	ASPS
56	T.cells_CD8	CR1	-0.0264705882352941	0.922480570501729	ASPS
57	CytolyticScore	CR1	0.0117647058823529	0.965508169895628	ASPS
58	T.cells_CD8	CRISP2	NA	NA	ASPS
59	CytolyticScore	CRISP2	NA	NA	ASPS
60	T.cells_CD8	CSAG1	0.076696498884737	0.777701446205708	ASPS
61	CytolyticScore	CSAG1	-0.0471978454675305	0.862201399646587	ASPS
62	T.cells_CD8	CSAG2	0.128735737173387	0.63467476088822	ASPS
63	CytolyticScore	CSAG2	0.289655408640121	0.276516127534554	ASPS
64	T.cells_CD8	CT45A1	NA	NA	ASPS
65	CytolyticScore	CT45A1	NA	NA	ASPS
66	T.cells_CD8	CT45A2	NA	NA	ASPS
67	CytolyticScore	CT45A2	NA	NA	ASPS
68	T.cells_CD8	CT45A3	0.247985346393983	0.354415681647063	ASPS
69	CytolyticScore	CT45A3	0.171288847509246	0.525890047971636	ASPS
70	T.cells_CD8	CT45A5	-0.0332351495167194	0.902748989903531	ASPS
71	CytolyticScore	CT45A5	-0.0715833989590879	0.792208243757455	ASPS
72	T.cells_CD8	CT45A6	0.364072821847283	0.165658125291233	ASPS
73	CytolyticScore	CT45A6	0.308061618486162	0.245725166221649	ASPS
74	T.cells_CD8	CT47A1	NA	NA	ASPS
75	CytolyticScore	CT47A1	NA	NA	ASPS
76	T.cells_CD8	CT47A10	NA	NA	ASPS
77	CytolyticScore	CT47A10	NA	NA	ASPS
78	T.cells_CD8	CT47A11	NA	NA	ASPS
79	CytolyticScore	CT47A11	NA	NA	ASPS
80	T.cells_CD8	CT47A2	NA	NA	ASPS
81	CytolyticScore	CT47A2	NA	NA	ASPS
82	T.cells_CD8	CT47A3	NA	NA	ASPS
83	CytolyticScore	CT47A3	NA	NA	ASPS
84	T.cells_CD8	CT47A4	NA	NA	ASPS
85	CytolyticScore	CT47A4	NA	NA	ASPS
86	T.cells_CD8	CT47A5	NA	NA	ASPS
87	CytolyticScore	CT47A5	NA	NA	ASPS
88	T.cells_CD8	CT47A6	NA	NA	ASPS
89	CytolyticScore	CT47A6	NA	NA	ASPS
90	T.cells_CD8	CT47A7	NA	NA	ASPS
91	CytolyticScore	CT47A7	NA	NA	ASPS
92	T.cells_CD8	CT47A8	NA	NA	ASPS
93	CytolyticScore	CT47A8	NA	NA	ASPS
94	T.cells_CD8	CT47A9	NA	NA	ASPS
95	CytolyticScore	CT47A9	NA	NA	ASPS
96	T.cells_CD8	CT47B1	0.364072821847283	0.165658125291233	ASPS
97	CytolyticScore	CT47B1	0.308061618486162	0.245725166221649	ASPS
98	T.cells_CD8	CT55	0.210666210154453	0.433533057091115	ASPS
99	CytolyticScore	CT55	0.139363800563715	0.606721055310769	ASPS
100	T.cells_CD8	CT83	NA	NA	ASPS
101	CytolyticScore	CT83	NA	NA	ASPS
102	T.cells_CD8	CTAG1A	0.307535372136425	0.246574512345716	ASPS
103	CytolyticScore	CTAG1A	0.432695116610552	0.0941314361752459	ASPS
104	T.cells_CD8	CTAG1B	-0.0992338483793945	0.714632695388575	ASPS
105	CytolyticScore	CTAG1B	0.043145151469302	0.873941539809908	ASPS
106	T.cells_CD8	CTAG2	0.035791699479544	0.895305056522274	ASPS
107	CytolyticScore	CTAG2	0.291446695762001	0.273421570090581	ASPS
108	T.cells_CD8	CTAGE1	0.347148015933323	0.187713344893659	ASPS
109	CytolyticScore	CTAGE1	0.205775520756857	0.44452627394036	ASPS
110	T.cells_CD8	CTAGE3P	0.178072160055841	0.509372661423599	ASPS
111	CytolyticScore	CTAGE3P	0.13539370847221	0.617106012488401	ASPS
112	T.cells_CD8	CTAGE5	-0.176470588235294	0.513250596736467	ASPS
113	CytolyticScore	CTAGE5	-0.317647058823529	0.230573463621845	ASPS
114	T.cells_CD8	CTCFL	-0.303836130197228	0.252596455740382	ASPS
115	CytolyticScore	CTCFL	-0.324485187589272	0.220133318133956	ASPS
116	T.cells_CD8	CTNNA2	0.155882352941176	0.564281969472802	ASPS
117	CytolyticScore	CTNNA2	-0.0294117647058824	0.9138955872505	ASPS
118	T.cells_CD8	DCAF12	-0.194117647058824	0.471289728362107	ASPS
119	CytolyticScore	DCAF12	-0.247058823529412	0.356275041512577	ASPS
120	T.cells_CD8	DDX43	0.0852941176470588	0.753465069474783	ASPS
121	CytolyticScore	DDX43	0.347058823529412	0.1878344201063	ASPS
122	T.cells_CD8	DDX53	0.0819757877916737	0.762795073136872	ASPS
123	CytolyticScore	DDX53	-0.0129435454407906	0.96205425174785	ASPS
124	T.cells_CD8	DKKL1	-0.116430879635174	0.667624388692669	ASPS
125	CytolyticScore	DKKL1	0.0388102932117246	0.88652636088489	ASPS
126	T.cells_CD8	DMRT1	-0.0354863411919798	0.896193752624052	ASPS
127	CytolyticScore	DMRT1	-0.0608337277576797	0.82291110023104	ASPS
128	T.cells_CD8	DNAJB8	0.308061618486162	0.245725166221649	ASPS
129	CytolyticScore	DNAJB8	0.420084025208403	0.105228057983522	ASPS
130	T.cells_CD8	DPPA2	0.340021145055668	0.19754940584376	ASPS
131	CytolyticScore	DPPA2	0.334908045130018	0.204808623138474	ASPS
132	T.cells_CD8	DSCR8	-0.190067465737249	0.480768609439105	ASPS
133	CytolyticScore	DSCR8	-0.285886601356855	0.283095867549794	ASPS
134	T.cells_CD8	ELOVL4	0.179411764705882	0.506139539990438	ASPS
135	CytolyticScore	ELOVL4	0.126470588235294	0.640694440816884	ASPS
136	T.cells_CD8	EPPIN	-0.163951575583347	0.544025159102416	ASPS
137	CytolyticScore	EPPIN	-0.0302016060285114	0.911591605685492	ASPS
138	T.cells_CD8	FAM133A	0.274337476780021	0.30383913313538	ASPS
139	CytolyticScore	FAM133A	0.120944479010547	0.655467940103636	ASPS
140	T.cells_CD8	FAM46D	-0.129435454407906	0.632819555916528	ASPS
141	CytolyticScore	FAM46D	-0.129435454407906	0.632819555916528	ASPS
142	T.cells_CD8	FATE1	-0.0647058823529412	0.811821451310593	ASPS
143	CytolyticScore	FATE1	0.0911764705882353	0.737004950173659	ASPS
144	T.cells_CD8	FBXO39	0.252941176470588	0.344563031337499	ASPS
145	CytolyticScore	FBXO39	0.420588235294118	0.104767513929187	ASPS
146	T.cells_CD8	FMR1NB	-0.109632637425003	0.686080360453023	ASPS
147	CytolyticScore	FMR1NB	-0.0088891327641894	0.973935695666148	ASPS
148	T.cells_CD8	FTHL17	NA	NA	ASPS
149	CytolyticScore	FTHL17	NA	NA	ASPS
150	T.cells_CD8	GAGE1	NA	NA	ASPS
151	CytolyticScore	GAGE1	NA	NA	ASPS
152	T.cells_CD8	GAGE12B	NA	NA	ASPS
153	CytolyticScore	GAGE12B	NA	NA	ASPS
154	T.cells_CD8	GAGE12C	NA	NA	ASPS
