row	column	cor	p	group
1	T.cells_CD8	CytolyticScore	0.911764705882353	8.8189857416765e-07	ASPS
2	T.cells_CD8	ADNP	-0.464705882352941	0.0697436755737559	ASPS
3	CytolyticScore	ADNP	-0.570588235294118	0.0209906963682178	ASPS
4	T.cells_CD8	ADNP2	-0.120588235294118	0.656424514748595	ASPS
5	CytolyticScore	ADNP2	-0.179411764705882	0.506139539990438	ASPS
6	T.cells_CD8	AHR	0.235294117647059	0.380355801188657	ASPS
7	CytolyticScore	AHR	0.261764705882353	0.327410411812586	ASPS
8	T.cells_CD8	AHRR	-0.264705882352941	0.321804395868615	ASPS
9	CytolyticScore	AHRR	-0.191176470588235	0.478164012817028	ASPS
10	T.cells_CD8	ALX1	-0.300886264855507	0.257463104888999	ASPS
11	CytolyticScore	ALX1	-0.292036668830345	0.272406977467231	ASPS
12	T.cells_CD8	ALX3	-0.112053499997768	0.679488452254843	ASPS
13	CytolyticScore	ALX3	-0.144896767238493	0.592365171042562	ASPS
14	T.cells_CD8	ALX4	0.05	0.854099552129744	ASPS
15	CytolyticScore	ALX4	0.0558823529411765	0.837137221795472	ASPS
16	T.cells_CD8	AR	-0.214705882352941	0.424559233620103	ASPS
17	CytolyticScore	AR	-0.252941176470588	0.344563031337499	ASPS
18	T.cells_CD8	ARGFX	NA	NA	ASPS
19	CytolyticScore	ARGFX	NA	NA	ASPS
20	T.cells_CD8	ARID3A	0.241176470588235	0.368206608042634	ASPS
21	CytolyticScore	ARID3A	0.4	0.1247504235984	ASPS
22	T.cells_CD8	ARID3B	0.335294117647059	0.204254580845515	ASPS
23	CytolyticScore	ARID3B	0.502941176470588	0.047063140467273	ASPS
24	T.cells_CD8	ARID3C	0.0770080032083649	0.776819822120627	ASPS
25	CytolyticScore	ARID3C	0.11173710269449	0.680348765295787	ASPS
26	T.cells_CD8	ARID4A	-0.167647058823529	0.534856824581943	ASPS
27	CytolyticScore	ARID4A	-0.129411764705882	0.63288233246826	ASPS
28	T.cells_CD8	ARID4B	-0.0147058823529412	0.956891924031642	ASPS
29	CytolyticScore	ARID4B	-0.0647058823529412	0.811821451310593	ASPS
30	T.cells_CD8	ARID5A	0.379411764705882	0.147227133862893	ASPS
31	CytolyticScore	ARID5A	0.467647058823529	0.0677608501901541	ASPS
32	T.cells_CD8	ARID5B	-0.0411764705882353	0.879653614931831	ASPS
33	CytolyticScore	ARID5B	-0.0705882352941176	0.795039302337628	ASPS
34	T.cells_CD8	ARNT	-0.532352941176471	0.0337686229602348	ASPS
35	CytolyticScore	ARNT	-0.576470588235294	0.0194151403865317	ASPS
36	T.cells_CD8	ARNT2	-0.0558823529411765	0.837137221795472	ASPS
37	CytolyticScore	ARNT2	0	1	ASPS
38	T.cells_CD8	ARNTL	0.505882352941176	0.0455816161239402	ASPS
39	CytolyticScore	ARNTL	0.447058823529412	0.0825369233953714	ASPS
40	T.cells_CD8	ARNTL2	0.432352941176471	0.0944210375347869	ASPS
41	CytolyticScore	ARNTL2	0.482352941176471	0.0584589767747197	ASPS
42	T.cells_CD8	ARX	-0.0205882352941176	0.939673739789045	ASPS
43	CytolyticScore	ARX	-0.102941176470588	0.704410381816771	ASPS
44	T.cells_CD8	ASCL1	-0.0656789577429185	0.80903979530233	ASPS
45	CytolyticScore	ASCL1	-0.205993094739154	0.444034235695303	ASPS
46	T.cells_CD8	ASCL3	0.043145151469302	0.873941539809908	ASPS
47	CytolyticScore	ASCL3	-0.0043145151469302	0.987347649776803	ASPS
48	T.cells_CD8	ASCL4	-0.0337734891167489	0.901180849582757	ASPS
49	CytolyticScore	ASCL4	0.0951798329653832	0.725863169980772	ASPS
50	T.cells_CD8	ASCL5	-0.302941176470588	0.254066880609611	ASPS
51	CytolyticScore	ASCL5	-0.341176470588235	0.195932624867889	ASPS
52	T.cells_CD8	ATF1	0.0941176470588235	0.72881442702398	ASPS
53	CytolyticScore	ATF1	-0.0205882352941176	0.939673739789045	ASPS
54	T.cells_CD8	ATF3	-0.0647058823529412	0.811821451310593	ASPS
